"Date","Turists","Excursionists"
"1","2000-01-01","46402928","28176623"
"2","2001-01-01","48565344","26998223"
"3","2002-01-01","50330625","28982704"
"4","2003-01-01","50853815","31472336"
"5","2004-01-01","52429832","33551493"
"6","2005-01-01","55913778","36649396"
"7","2006-01-01","58004461","38147748"
"8","2007-01-01","58665504","40241124"
"9","2008-01-01","57192014","40477778"
"10","2009-01-01","52177641","39721556"
"11","2010-01-01","52676971","41067205"
"12","2011-01-01","56176884","43010254"
"13","2012-01-01","57464495","40663582"
"14","2013-01-01","60591863","40914817"
