"Date","Andalusia","Balearic Islands","Canary Islands","Catalonia","Valencia","Madrid","Rest of regions"
"1","2000-01-01","288855","137781","828789","231524","170221","168090","156689"
"2","2000-02-01","356390","223253","833005","305927","199739","185017","157495"
"3","2000-03-01","500965","370031","956457","451997","270505","252081","210244"
"4","2000-04-01","780529","736225","891612","830173","391718","278003","298506"
"5","2000-05-01","609661","1231466","690825","708556","336849","254697","263283"
"6","2000-06-01","661327","1433563","692013","925173","428866","215479","280916"
"7","2000-07-01","837916","1645507","836059","1562876","672643","244525","551629"
"8","2000-08-01","860101","1505723","812536","1238121","536316","230205","579418"
"9","2000-09-01","749738","1486479","783694","1018024","451026","237451","310536"
"10","2000-10-01","615732","939990","916114","793408","341127","292063","243890"
"11","2000-11-01","380125","175887","921304","393000","214526","224315","185234"
"12","2000-12-01","350634","115718","860413","456760","222076","221527","194062"
"13","2001-01-01","305077","141019","875825","312346","199605","195108","172859"
"14","2001-02-01","351367","248604","868119","334515","223093","218365","167295"
"15","2001-03-01","484284","377231","1010995","464236","300618","256816","210681"
"16","2001-04-01","718589","680619","868545","976582","409785","268791","307598"
"17","2001-05-01","648329","1256931","706084","831515","380738","279824","271664"
"18","2001-06-01","715739","1469734","726407","998289","456221","271496","310304"
"19","2001-07-01","966463","1613199","848160","1581151","656161","336791","633256"
"20","2001-08-01","1156139","1560533","838912","1497405","506510","273682","658592"
"21","2001-09-01","804752","1490626","788156","1015717","447469","253979","339024"
"22","2001-10-01","655998","843286","912141","760667","363340","232783","255696"
"23","2001-11-01","389464","162707","894596","404550","210177","190260","213637"
"24","2001-12-01","395311","117459","871005","506366","234685","190041","222660"
"25","2002-01-01","344018","123437","822501","345988","187969","178948","175830"
"26","2002-02-01","412134","218856","878651","430753","234340","221762","202902"
"27","2002-03-01","592777","424554","1043074","718855","361433","245811","284569"
"28","2002-04-01","631991","488842","760690","863857","347894","232599","329945"
"29","2002-05-01","694820","1185521","678233","1005185","386461","233593","299106"
"30","2002-06-01","719916","1388801","691411","1126240","455505","271543","368327"
"31","2002-07-01","893148","1455545","818197","1807597","664996","307300","747231"
"32","2002-08-01","1084336","1591346","857487","2011787","690159","280365","829270"
"33","2002-09-01","808710","1319930","773884","1024773","458699","268618","404019"
"34","2002-10-01","705740","792845","907765","882571","412363","285889","340993"
"35","2002-11-01","396485","167296","931211","505720","248820","208870","215288"
"36","2002-12-01","402092","116843","884085","488401","253777","174719","301811"
"37","2003-01-01","386360","127639","885242","376710","229705","154705","232885"
"38","2003-02-01","424822","212820","877085","494444","242291","208963","218699"
"39","2003-03-01","550726","324701","1000532","656784","314113","193186","262426"
"40","2003-04-01","686473","605249","875509","1032288","419078","230825","358543"
"41","2003-05-01","784370","1203884","690971","1007725","442989","236501","349656"
"42","2003-06-01","759847","1367890","674413","1174365","425291","262169","392221"
"43","2003-07-01","931162","1467308","800868","1905694","688328","353869","700020"
