"Date","daysGermany","daysFrance","daysItaly","daysNetherlands","daysUnitedKingdom","daysRestoftheworld","expGermany","expFrance","expItaly","expNetherlands","expUnitedKingdom","expRestoftheworld"
"1",2004,9.9,11.1,8.3,8.3,10,9.7,79.5,61.8,108.9,78.4,88.8,98
"14",2005,9.7,11,8.2,8.7,10.1,9.5,79.6,66.4,109.1,75.6,87,104
"27",2006,9.5,10.9,7.5,8.3,10.1,9.4,83.9,69.9,101.4,81.6,88.1,105
"40",2007,9.3,10.2,7.5,8.2,9,9.2,90.2,74.4,106.1,90.7,89,108
"53",2008,9.5,10.3,7.5,8.6,8.9,9.8,90.5,84.1,102.5,95.2,85.7,110
"66",2009,9.7,10.9,7.6,8.7,10.1,9.7,89.4,79.7,101,89.7,84.1,111
"79",2010,9.6,10.4,8,8.5,10.1,9.3,92.6,76.4,97.8,90.7,88.3,115
"92",2011,9.2,10.3,7.5,7.9,9.9,9,93.6,82.9,100.3,90.1,85.1,122
"105",2012,8.9,9.9,7.3,7.2,10.2,8.8,97.8,77.6,102.9,88.5,93.2,130
"118",2013,9,9.7,7.5,7.2,10,8.8,101.6,83.7,102.7,91.7,95.7,133
"131",2014,8.5,9.3,6.4,6.4,8.8,8.6,101.7,88,106.3,96.6,92.8,135
