"Date","daysGermany","daysFrance","daysItaly","daysNetherlands","daysUnitedKingdom","daysRestoftheworld","expGermany","expFrance","expItaly","expNetherlands","expUnitedKingdom","expRestoftheworld"
"2",2004-01-01,10.2,11.2,7.6,7.4,9.5,9.4,88,78.4,119.6,86.7,86.8,96
"3",2004-02-01,9.8,11.2,8.3,8.1,9.6,9,77.4,67.6,116.4,85.7,85.2,95
"4",2004-03-01,10.2,12,7.2,7.4,8.4,9.7,81.5,90.5,114.9,96.3,88.6,103
"5",2004-04-01,10,12.1,6.8,8.2,9.2,10.5,75,65.6,107.6,86.5,81.8,99
"6",2004-05-01,9.3,10.9,7.2,7.4,10,9.2,75.5,66.6,119.5,75.6,81.5,102
"7",2004-06-01,10.1,11,9.2,8.1,10.8,9.6,76.2,63.4,112.7,77.6,88.6,99
"8",2004-07-01,10.1,10.8,8.6,8.1,11.4,9.8,79.3,53.7,100.9,59.9,94.5,89
"9",2004-08-01,10.5,11.3,9.3,9.9,10.8,10.6,75.1,49.1,95.1,69.3,89.1,90
"10",2004-09-01,10,10.9,9.4,8.9,9.1,9.6,79.4,59.2,107.3,86.8,91.2,98
"11",2004-10-01,9.6,10.5,8.3,8.1,8.6,9.4,82.5,69.6,113,96.6,90.8,109
"12",2004-11-01,9.4,10.7,6.5,6.7,8.7,8.9,90.6,81.3,134.8,92.8,89.7,109
"13",2004-12-01,9.8,11,8.4,7.9,10.2,9.1,84.7,63.3,121.1,95.3,95.6,103
"15",2005-01-01,9.6,11.1,6.3,7.3,11.3,9,84.2,89.3,128.7,76.3,85.9,104
"16",2005-02-01,9,10.4,7.2,8.3,8.6,8.8,80.5,76.3,119.5,94.4,90.7,110
"17",2005-03-01,9.3,11.6,7.7,6,9.8,8.8,75.5,75.9,139.9,82.6,87.9,112
"18",2005-04-01,8.9,11.2,7.3,7.3,9.6,8.5,73.3,64.8,114,74.9,85.3,107
"19",2005-05-01,9,9.7,6.9,7.7,9.3,8.5,80.2,68.4,122.1,77.3,83.9,95
"20",2005-06-01,9.4,10.3,8.7,8.2,9,9.1,74.6,66.9,114.9,80.3,83.3,95
"21",2005-07-01,10.5,11.6,9.6,9.1,12.9,10.2,73.7,55.6,98.7,55.5,90.6,100
"22",2005-08-01,10.7,11.3,8.9,10.4,11.7,11.3,77.6,54.7,95.2,64.5,83.2,94
"23",2005-09-01,9.7,11.1,8.5,9,8.7,9.6,83.4,82.3,109.3,89.3,91.1,112
"24",2005-10-01,9.6,10.9,7.8,9.6,8.7,9.5,85.3,74.9,110.3,95.3,92,116
"25",2005-11-01,9.2,10.8,6.9,7.2,8.2,8.8,97,98.7,154.3,105.1,95,114
