"Date","Germany","France","Italy","Netherlands","UnitedKingdom","Restoftheworld"
"1",2004,79.5,61.8,108.9,78.4,88.8,98
"14",2005,79.6,66.4,109.1,75.6,87,104
"27",2006,83.9,69.9,101.4,81.6,88.1,105
"40",2007,90.2,74.4,106.1,90.7,89,108
"53",2008,90.5,84.1,102.5,95.2,85.7,110
"66",2009,89.4,79.7,101,89.7,84.1,111
"79",2010,92.6,76.4,97.8,90.7,88.3,115
"92",2011,93.6,82.9,100.3,90.1,85.1,122
"105",2012,97.8,77.6,102.9,88.5,93.2,130
"118",2013,101.6,83.7,102.7,91.7,95.7,133
"131",2014,101.7,88,106.3,96.6,92.8,135
