"Date","Turists","Excursionists"
"1","2001-01-01","0.111","0.034"
"2","2001-02-01","0.067","-0.004"
"3","2001-03-01","0.031","-0.011"
"4","2001-04-01","0.006","0.001"
"5","2001-05-01","0.068","-0.027"
"6","2001-06-01","0.067","-0.037"
"7","2001-07-01","0.045","-0.072"
"8","2001-08-01","0.127","-0.061"
"9","2001-09-01","0.02","-0.112"
"10","2001-10-01","-0.029","-0.06"
"11","2001-11-01","-0.012","-0.054"
"12","2001-12-01","0.048","-0.02"
"13","2002-01-01","-0.011","0.012"
"14","2002-02-01","0.078","0.084"
"15","2002-03-01","0.182","0.16"
"16","2002-04-01","-0.136","-0.008"
"17","2002-05-01","0.025","0.094"
"18","2002-06-01","0.015","0.049"
"19","2002-07-01","0.009","0.039"
"20","2002-08-01","0.131","0.089"
"21","2002-09-01","-0.016","0.06"
"22","2002-10-01","0.076","0.103"
"23","2002-11-01","0.084","0.164"
"24","2002-12-01","0.033","0.068"
"25","2003-01-01","0.098","0.102"
"26","2003-02-01","0.031","-0.045"
"27","2003-03-01","-0.1","0.057"
"28","2003-04-01","0.151","0.08"
"29","2003-05-01","0.052","0.172"
"30","2003-06-01","0.007","0.167"
"31","2003-07-01","0.023","0.056"
"32","2003-08-01","-0.058","0.059"
"33","2003-09-01","-0.013","0.084"
"34","2003-10-01","0.005","0.117"
"35","2003-11-01","-0.006","0.09"
"36","2003-12-01","0.041","0.118"
"37","2004-01-01","0.068","0.133"
"38","2004-02-01","0.101","0.263"
"39","2004-03-01","-0.007","0.017"
"40","2004-04-01","-0.006","0.123"
"41","2004-05-01","0.04","0.016"
"42","2004-06-01","-0.04","0.024"
"43","2004-07-01","0.01","0.096"
"44","2004-08-01","-0.01","0.001"
"45","2004-09-01","0.061","0.012"
"46","2004-10-01","0.082","0.136"
"47","2004-11-01","0.08","0.05"
"48","2004-12-01","0.122","0.054"
"49","2005-01-01","0.062","0.042"
"50","2005-02-01","0.002","0.029"
"51","2005-03-01","0.17","0.189"
"52","2005-04-01","-0.006","0.002"
"53","2005-05-01","0.054","0.114"
"54","2005-06-01","0.084","0.165"
"55","2005-07-01","0.084","0.155"
"56","2005-08-01","0.069","0.06"
"57","2005-09-01","0.092","0.174"
"58","2005-10-01","0.044","0.063"
"59","2005-11-01","0.086","0.037"
"60","2005-12-01","0.039","0.08"
"61","2006-01-01","0.006","0.1"
"62","2006-02-01","0.026","0.133"
"63","2006-03-01","-0.001","0.032"
"64","2006-04-01","0.179","0.143"
"65","2006-05-01","0.069","0.088"
"66","2006-06-01","0.05","-0.061"
"67","2006-07-01","0.009","-0.047"
"68","2006-08-01","0.015","0.023"
"69","2006-09-01","0.038","0.013"
"70","2006-10-01","0.03","0.024"
"71","2006-11-01","0.014","0.066"
"72","2006-12-01","0.015","0.073"
"73","2007-01-01","0.034","0.051"
"74","2007-02-01","0.042","-0.031"
"75","2007-03-01","0.062","0.064"
"76","2007-04-01","-0.044","0.036"
"77","2007-05-01","-0.024","-0.054"
"78","2007-06-01","0.039","0.136"
"79","2007-07-01","0.009","0.12"
"80","2007-08-01","0.018","0.091"
"81","2007-09-01","0.005","0.101"
"82","2007-10-01","-0.009","0.048"
"83","2007-11-01","0.045","0.057"
"84","2007-12-01","0","-0.011"
"85","2008-01-01","0.021","-0.006"
"86","2008-02-01","0.063","0.053"
"87","2008-03-01","0.065","0.067"
"88","2008-04-01","-0.022","-0.035"
"89","2008-05-01","0.047","0.185"
"90","2008-06-01","0.006","0.031"
"91","2008-07-01","-0.074","0.008"
"92","2008-08-01","-0.03","0.029"
"93","2008-09-01","-0.058","-0.072"
"94","2008-10-01","-0.049","-0.074"
"95","2008-11-01","-0.114","-0.036"
"96","2008-12-01","-0.128","-0.078"
"97","2009-01-01","-0.126","0.019"
"98","2009-02-01","-0.157","-0.062"
"99","2009-03-01","-0.208","-0.126"
"100","2009-04-01","-0.016","-0.045"
"101","2009-05-01","-0.117","-0.098"
"102","2009-06-01","-0.1","-0.079"
"103","2009-07-01","-0.055","0.013"
"104","2009-08-01","-0.084","0.005"
"105","2009-09-01","-0.097","-0.04"
"106","2009-10-01","-0.036","0.105"
"107","2009-11-01","-0.031","0.033"
"108","2009-12-01","-0.037","0.055"
"109","2010-01-01","0.01","0.041"
"110","2010-02-01","-0.039","0.039"
"111","2010-03-01","0.032","0.143"
"112","2010-04-01","-0.133","0.062"
"113","2010-05-01","0.012","-0.049"
"114","2010-06-01","0.016","0.094"
"115","2010-07-01","0.045","0.007"
"116","2010-08-01","0.039","0.013"
"117","2010-09-01","0.043","0.141"
"118","2010-10-01","0.043","0.026"
"119","2010-11-01","0.026","-0.02"
"120","2010-12-01","-0.045","-0.052"
"121","2011-01-01","0.044","0.071"
"122","2011-02-01","0.022","0.079"
"123","2011-03-01","-0.009","-0.002"
"124","2011-04-01","0.179","0.083"
"125","2011-05-01","0.018","0.096"
"126","2011-06-01","0.084","0.138"
"127","2011-07-01","0.058","0.065"
"128","2011-08-01","0.072","0.012"
"129","2011-09-01","0.109","0.036"
"130","2011-10-01","0.094","0.021"
"131","2011-11-01","0.032","-0.009"
"132","2011-12-01","0.034","-0.002"
"133","2012-01-01","0.058","-0.077"
"134","2012-02-01","0.005","-0.066"
"135","2012-03-01","0.023","-0.048"
"136","2012-04-01","-0.025","-0.102"
"137","2012-05-01","0.049","-0.078"
"138","2012-06-01","0.046","-0.134"
"139","2012-07-01","0.036","-0.051"
"140","2012-08-01","0.035","-0.014"
"141","2012-09-01","0.045","0.001"
"142","2012-10-01","-0.025","-0.069"
"143","2012-11-01","0.005","-0.029"
"144","2012-12-01","-0.014","-0.011"
"145","2013-01-01","-0.031","-0.057"
"146","2013-02-01","0.002","-0.038"
"147","2013-03-01","0.078","0.094"
"148","2013-04-01","0.034","0.044"
"149","2013-05-01","0.071","0.141"
"150","2013-06-01","0.051","0.051"
"151","2013-07-01","0.024","0.022"
"152","2013-08-01","0.071","-0.034"
