"Date","Turists","Excursionists"
"1","2000-01-01","7255056","5154937"
"2","2000-04-01","12939442","6485689"
"3","2000-07-01","17150524","10499363"
"4","2000-10-01","9057906","6036634"
"5","2001-01-01","7718056","5185172"
"6","2001-04-01","13553781","6353529"
"7","2001-07-01","18266677","9688616"
"8","2001-10-01","9026830","5770906"
"9","2002-01-01","8449163","5633280"
"10","2002-04-01","13160479","6623188"
"11","2002-07-01","19097398","10331335"
"12","2002-10-01","9623585","6394901"
"13","2003-01-01","8374839","5847356"
"14","2003-04-01","13980254","7540038"
"15","2003-07-01","18758939","10992533"
"16","2003-10-01","9739783","7092409"
"17","2004-01-01","8782908","6594700"
"18","2004-04-01","13941631","7948729"
"19","2004-07-01","19061346","11343168"
"20","2004-10-01","10643947","7664896"
"21","2005-01-01","9503422","7172861"
"22","2005-04-01","14589063","8666918"
"23","2005-07-01","20603210","12675874"
"24","2005-10-01","11218083","8133743"
"25","2006-01-01","9591895","7784346"
"26","2006-04-01","15955051","9151592"
"27","2006-07-01","20999071","12643710"
"28","2006-10-01","11458444","8568100"
"29","2007-01-01","10050288","8007050"
"30","2007-04-01","15827242","9471390"
"31","2007-07-01","21230760","13941582"
"32","2007-10-01","11557214","8821102"
"33","2008-01-01","10573715","8318931"
"34","2008-04-01","16012297","10011541"
"35","2008-07-01","20085764","13888618"
"36","2008-10-01","10520238","8258688"
"37","2009-01-01","8785562","7812178"
"38","2009-04-01","14703260","9263728"
"39","2009-07-01","18534493","13843667"
"40","2009-10-01","10154326","8801983"
"41","2010-01-01","8809604","8404150"
"42","2010-04-01","14245563","9574898"
"43","2010-07-01","19318178","14409115"
"44","2010-10-01","10303626","8679042"
"45","2011-01-01","8950143","8794869"
"46","2011-04-01","15482570","10587633"
"47","2011-07-01","20809172","14909277"
"48","2011-10-01","10934999","8718475"
"49","2012-01-01","9201028","8235334"
"50","2012-04-01","15877095","9467424"
"51","2012-07-01","21606011","14579530"
"52","2012-10-01","10780361","8381294"
"53","2013-01-01","9401343","8261945"
"54","2013-04-01","16712876","10209104"
"55","2013-07-01","22635398","14365645"
"56","2013-10-01","11842246","8078123"
"57","2014-01-01","10078706","8172265"
"58","2014-04-01","17939402","10495363"
